Letter,Spoken Form
a,appy
b,bat
c,cat
d,drum
e,epic
f,fin
g,gust
h,hack
i, iggy
j,jiggy
k,crunch
l,look
m,made
n,near
o,odd
p,pit
q,quicks
r,red
s,sun
t,trap
u,urge
v,vest
w,well
x,plex
y,yank
z,zip
